"TimeGenerated [UTC]",Computer,EventID,RenderedDescription
"6/16/2026, 11:57:13.398 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x13B18F  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:56:54.145 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x13094D 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{1e83c98b-9e6a-513e-0406-ebbffcea312a}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	fe80::6281:4404:d084:6b58 	Source Port:		52259  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:56:54.144 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x13094D  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:56:52.162 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x1306E7 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{1e83c98b-9e6a-513e-0406-ebbffcea312a}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	fe80::6281:4404:d084:6b58 	Source Port:		52256  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:56:52.161 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x1306E7  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:56:52.145 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x13065C 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{1e83c98b-9e6a-513e-0406-ebbffcea312a}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	fe80::6281:4404:d084:6b58 	Source Port:		52255  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:56:52.145 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x13065C  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:56:49.916 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x12FF7F 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{1e83c98b-9e6a-513e-0406-ebbffcea312a}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	::1 	Source Port:		52253  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:56:49.915 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x12FF7F  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:56:49.600 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x12FDE9 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{1e83c98b-9e6a-513e-0406-ebbffcea312a}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	fe80::6281:4404:d084:6b58 	Source Port:		52248  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
